Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n,InitPsi
20,0.0923,0.1,0.05,0.0542926437704757,0.174721571367073,0.53,0.00131,1.89,-7610.65759959164
33.1256374788941,0.0919839248045361,0.0996329099076485,0.05,0.0941994827002861,0.287982903363637,0.53,0.00131,1.45,-6864.22233183548
54.8653929191557,0.0914627943931224,0.0990278671711597,0.05,0.0505530111179566,0.0665127021139418,0.53,0.0131,1.89,-159.838304208848
90.8725557988517,0.0906061421886586,0.0980338176477028,0.05,0.0542926437704757,0.174721571367073,0.53,0.00131,1.89,-86.9693298498439
150.510567008667,0.0892048984086236,0.0964092933240327,0.05,0.0656847262183416,0.137263641357309,0.53,0.0131,1.45,33.7222315539153
249.287923973595,0.0869315525732889,0.0937776263177294,0.05,0.0542926437704757,0.174721571367073,0.53,0.00131,1.89,233.621477045046
412.89106987077,0.0832929833929017,0.0895759214888356,0.05,0.0505530111179566,0.0665127021139418,0.53,0.0131,1.89,564.710973967229
683.863994940594,0.0775984220078682,0.0830267629220656,0.05,0.0542926437704757,0.174721571367073,0.53,0.00131,1.89,1113.08850637291
1132.67153906352,0.069010165039892,0.0732158700405742,0.05,0.0656847262183416,0.137263641357309,0.53,0.0131,1.45,2021.35627337497
1876.02333928396,0.0568253813938853,0.0594498697180094,0.05,0.0542926437704757,0.174721571367073,0.53,0.00131,1.89,3525.7037125487
3107.22345195324,0.041190843637717,0.0421049403096751,0.05,0.0505530111179566,0.0665127021139418,0.53,0.0131,1.89,6017.3271081673
5146.43788176604,0.0241740317400853,0.0237789385549351,0.05,0.0505530111179566,0.0665127021139418,0.53,0.0131,1.89,10144.1577750269
8523.95177895147,0.01,0.00923,0.05,0.0542926437704757,0.174721571367073,0.53,0.00131,1.89,16979.3526053857
