Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,50.000000 ,200.000000 ,550.000000 ,1050.000000 ,1550.000000  
03/02/2012 09:00,734902.375000,2.375000,1,1,1,0.112256,0.154582,0.211668,0.382584,0.400000 
03/02/2012 10:00,734902.416667,2.416667,1,1,1,0.109127,0.150385,0.207459,0.391568,0.400000 
03/02/2012 11:00,734902.458333,2.458333,1,1,1,0.106307,0.146595,0.203723,0.398152,0.400000 
03/02/2012 12:00,734902.500000,2.500000,1,1,1,0.103745,0.143150,0.200530,0.400000,0.400000 
03/02/2012 13:00,734902.541667,2.541667,1,1,1,0.101404,0.139997,0.197686,0.400000,0.400000 
03/02/2012 14:00,734902.583333,2.583333,1,1,1,0.099250,0.137096,0.195095,0.400000,0.400000 
03/02/2012 15:00,734902.625000,2.625000,1,1,1,0.097260,0.134413,0.192690,0.400000,0.400000 
03/02/2012 16:00,734902.666667,2.666667,1,1,1,0.095413,0.131921,0.190447,0.400000,0.400000 
03/02/2012 17:00,734902.708333,2.708333,1,1,1,0.093691,0.129596,0.188375,0.400000,0.400000 
03/02/2012 18:00,734902.750000,2.750000,1,1,1,0.092081,0.127421,0.186452,0.400000,0.400000 
03/02/2012 19:00,734902.791667,2.791667,1,1,1,0.090571,0.125380,0.184649,0.400000,0.400000 
03/02/2012 20:00,734902.833333,2.833333,1,1,1,0.089149,0.123457,0.182952,0.400000,0.400000 
03/02/2012 21:00,734902.875000,2.875000,1,1,1,0.087808,0.121643,0.181358,0.400000,0.400000 
03/02/2012 22:00,734902.916667,2.916667,1,1,1,0.086540,0.119926,0.179860,0.400000,0.400000 
03/02/2012 23:00,734902.958333,2.958333,1,1,1,0.085338,0.118298,0.178448,0.400000,0.400000 
04/02/2012 00:00,734903.000000,3.000000,1,1,1,0.084196,0.116751,0.177121,0.400000,0.400000 
04/02/2012 01:00,734903.041667,3.041667,1,1,1,0.083110,0.115279,0.175876,0.400000,0.400000 
04/02/2012 02:00,734903.083333,3.083333,1,1,1,0.082074,0.113875,0.174710,0.400000,0.400000 
04/02/2012 03:00,734903.125000,3.125000,1,1,1,0.081085,0.112534,0.173621,0.400000,0.400000 
04/02/2012 04:00,734903.166667,3.166667,1,1,1,0.080139,0.111252,0.172610,0.400000,0.400000 
04/02/2012 05:00,734903.208333,3.208333,1,1,1,0.079233,0.110024,0.171675,0.400000,0.400000 
04/02/2012 06:00,734903.250000,3.250000,1,1,1,0.078365,0.108847,0.170822,0.400000,0.400000 
04/02/2012 07:00,734903.291667,3.291667,1,1,1,0.077531,0.107716,0.170040,0.400000,0.400000 
04/02/2012 08:00,734903.333333,3.333333,1,1,1,0.076729,0.106630,0.169330,0.400000,0.400000 
04/02/2012 09:00,734903.375000,3.375000,1,1,1,0.075958,0.105584,0.168693,0.400000,0.400000 
04/02/2012 10:00,734903.416667,3.416667,1,1,1,0.075215,0.104578,0.168119,0.400000,0.400000 
04/02/2012 11:00,734903.458333,3.458333,1,1,1,0.074498,0.103607,0.167606,0.400000,0.400000 
04/02/2012 12:00,734903.500000,3.500000,1,1,1,0.073806,0.102671,0.167136,0.400000,0.400000 
04/02/2012 13:00,734903.541667,3.541667,1,1,1,0.073138,0.101767,0.166700,0.400000,0.400000 
04/02/2012 14:00,734903.583333,3.583333,1,1,1,0.072492,0.100893,0.166294,0.400000,0.400000 
04/02/2012 15:00,734903.625000,3.625000,1,1,1,0.071866,0.100048,0.165913,0.400000,0.400000 
04/02/2012 16:00,734903.666667,3.666667,1,1,1,0.071261,0.099230,0.165553,0.400000,0.400000 
04/02/2012 17:00,734903.708333,3.708333,1,1,1,0.070674,0.098438,0.165214,0.400000,0.400000 
04/02/2012 18:00,734903.750000,3.750000,1,1,1,0.070105,0.097669,0.164893,0.400000,0.400000 
04/02/2012 19:00,734903.791667,3.791667,1,1,1,0.069552,0.096924,0.164589,0.400000,0.400000 
04/02/2012 20:00,734903.833333,3.833333,1,1,1,0.069016,0.096200,0.164303,0.400000,0.400000 
